key,Population,lat,lon
1089,BiakaPygmy,4,17
1090,BiakaPygmy,4,17
1091,BiakaPygmy,4,17
1093,BiakaPygmy,4,17
1094,BiakaPygmy,4,17
449,MbutiPygmy,1,29
450,MbutiPygmy,1,29
456,MbutiPygmy,1,29
462,MbutiPygmy,1,29
463,MbutiPygmy,1,29
467,MbutiPygmy,1,29
468,MbutiPygmy,1,29
471,MbutiPygmy,1,29
474,MbutiPygmy,1,29
476,MbutiPygmy,1,29
478,MbutiPygmy,1,29
982,MbutiPygmy,1,29
983,MbutiPygmy,1,29
984,MbutiPygmy,1,29
1081,MbutiPygmy,1,29
987,San,-21,20
988,San,-21,20
991,San,-21,20
992,San,-21,20
1029,San,-21,20
1032,San,-21,20
1036,San,-21,20
774,Han,32.26566812,114
775,Han,32.26566812,114
776,Han,32.26566812,114
777,Han,32.26566812,114
778,Han,32.26566812,114
779,Han,32.26566812,114
780,Han,32.26566812,114
781,Han,32.26566812,114
782,Han,32.26566812,114
783,Han,32.26566812,114
784,Han,32.26566812,114
785,Han,32.26566812,114
786,Han,32.26566812,114
811,Han,32.26566812,114
812,Han,32.26566812,114
813,Han,32.26566812,114
814,Han,32.26566812,114
815,Han,32.26566812,114
817,Han,32.26566812,114
818,Han,32.26566812,114
819,Han,32.26566812,114
820,Han,32.26566812,114
821,Han,32.26566812,114
822,Han,32.26566812,114
971,Han,32.26566812,114
972,Han,32.26566812,114
973,Han,32.26566812,114
974,Han,32.26566812,114
975,Han,32.26566812,114
976,Han,32.26566812,114
977,Han,32.26566812,114
1021,Han,32.26566812,114
1023,Han,32.26566812,114
1024,Han,32.26566812,114
1287,Han-NChina,32.26566812,114
1288,Han-NChina,32.26566812,114
1289,Han-NChina,32.26566812,114
1290,Han-NChina,32.26566812,114
1291,Han-NChina,32.26566812,114
1292,Han-NChina,32.26566812,114
1293,Han-NChina,32.26566812,114
1294,Han-NChina,32.26566812,114
1295,Han-NChina,32.26566812,114
1296,Han-NChina,32.26566812,114
1307,Dai,21,100
1308,Dai,21,100
1309,Dai,21,100
1310,Dai,21,100
1311,Dai,21,100
1312,Dai,21,100
1313,Dai,21,100
1314,Dai,21,100
1315,Dai,21,100
1316,Dai,21,100
1213,Daur,48.49753416,124
1214,Daur,48.49753416,124
1215,Daur,48.49753416,124
1216,Daur,48.49753416,124
1217,Daur,48.49753416,124
1218,Daur,48.49753416,124
1219,Daur,48.49753416,124
1220,Daur,48.49753416,124
1221,Daur,48.49753416,124
1222,Daur,48.49753416,124
1233,Hezhen,47.4976192,133.5
1234,Hezhen,47.4976192,133.5
1236,Hezhen,47.4976192,133.5
1237,Hezhen,47.4976192,133.5
1238,Hezhen,47.4976192,133.5
1239,Hezhen,47.4976192,133.5
1240,Hezhen,47.4976192,133.5
1241,Hezhen,47.4976192,133.5
1242,Hezhen,47.4976192,133.5
1317,Lahu,22,100
1318,Lahu,22,100
1319,Lahu,22,100
1320,Lahu,22,100
1321,Lahu,22,100
1322,Lahu,22,100
1323,Lahu,22,100
1324,Lahu,22,100
1325,Lahu,22,100
1326,Lahu,22,100
1189,Miao,28,109
1190,Miao,28,109
1191,Miao,28,109
1192,Miao,28,109
1193,Miao,28,109
1194,Miao,28,109
1195,Miao,28,109
1196,Miao,28,109
1197,Miao,28,109
1198,Miao,28,109
1203,Oroqen,50.43389257,126.5
1204,Oroqen,50.43389257,126.5
1205,Oroqen,50.43389257,126.5
1206,Oroqen,50.43389257,126.5
1207,Oroqen,50.43389257,126.5
1208,Oroqen,50.43389257,126.5
1209,Oroqen,50.43389257,126.5
1210,Oroqen,50.43389257,126.5
1211,Oroqen,50.43389257,126.5
1212,Oroqen,50.43389257,126.5
1327,She,27,119
1328,She,27,119
1329,She,27,119
1330,She,27,119
1331,She,27,119
1332,She,27,119
1333,She,27,119
1334,She,27,119
1335,She,27,119
1336,She,27,119
1095,Tujia,29,109
1096,Tujia,29,109
1097,Tujia,29,109
1098,Tujia,29,109
1099,Tujia,29,109
1100,Tujia,29,109
1101,Tujia,29,109
1102,Tujia,29,109
1103,Tujia,29,109
1104,Tujia,29,109
1347,Tu,36,101
1348,Tu,36,101
1349,Tu,36,101
1350,Tu,36,101
1351,Tu,36,101
1352,Tu,36,101
1353,Tu,36,101
1354,Tu,36,101
1355,Tu,36,101
1356,Tu,36,101
1243,Xibo,43.49792973,81.5
1244,Xibo,43.49792973,81.5
1245,Xibo,43.49792973,81.5
1246,Xibo,43.49792973,81.5
1247,Xibo,43.49792973,81.5
1248,Xibo,43.49792973,81.5
1249,Xibo,43.49792973,81.5
1250,Xibo,43.49792973,81.5
1251,Xibo,43.49792973,81.5
1179,Yi,28,103
1180,Yi,28,103
1181,Yi,28,103
1182,Yi,28,103
1183,Yi,28,103
1184,Yi,28,103
1185,Yi,28,103
1186,Yi,28,103
1187,Yi,28,103
1188,Yi,28,103
1223,Mongola,45,111
1224,Mongola,45,111
1225,Mongola,45,111
1226,Mongola,45,111
1227,Mongola,45,111
1228,Mongola,45,111
1229,Mongola,45,111
1230,Mongola,45,111
1231,Mongola,45,111
1232,Mongola,45,111
1337,Naxi,26,100
1338,Naxi,26,100
1339,Naxi,26,100
1340,Naxi,26,100
1341,Naxi,26,100
1342,Naxi,26,100
1343,Naxi,26,100
1344,Naxi,26,100
1345,Naxi,26,100
1346,Naxi,26,100
1297,Uygur,44,81
1298,Uygur,44,81
1299,Uygur,44,81
1300,Uygur,44,81
1301,Uygur,44,81
1302,Uygur,44,81
1303,Uygur,44,81
1304,Uygur,44,81
1305,Uygur,44,81
1306,Uygur,44,81
711,Cambodian,12,105
712,Cambodian,12,105
713,Cambodian,12,105
714,Cambodian,12,105
715,Cambodian,12,105
716,Cambodian,12,105
717,Cambodian,12,105
