"","assign"
"1008","684"
"1009","622"
"1010","684"
"1011","684"
"1012","684"
"1013","601"
"1014","684"
"1015","684"
"1016","684"
"1017","617"
"1018","684"
"1019","606"
"1020","684"
"1021","684"
"1022","684"
"1023","601"
"1024","699"
"1025","699"
"1026","699"
"1027","699"
"1028","699"
"1029","699"
"1030","699"
"1031","699"
"1032","699"
"1033","699"
"1034","699"
"1035","699"
"1036","699"
"1037","699"
"1038","699"
"1039","699"
"1040","699"
"1041","699"
"1042","699"
"1043","699"
"1044","699"
"1045","699"
"1046","699"
"1047","699"
"1048","699"
