"","posterior.1","posterior.10","posterior.11","posterior.12","posterior.13","posterior.14","posterior.2","posterior.3","posterior.4","posterior.5","posterior.6","posterior.7","posterior.8","posterior.9"
"Hawaii_Oahu_6346",1.9904797992734e-41,6.48646459298912e-09,8.53168546913898e-11,0.999999993098065,8.46106494937226e-16,4.30871206679919e-14,3.47089347644345e-32,5.74335823824613e-26,2.3657705925217e-19,3.28100495208983e-10,1.93709749846775e-12,3.9036237998605e-14,3.26686113910504e-14,8.42343679519775e-23
"Hawaii_Oahu_6352",6.06416869803851e-37,4.81689842378907e-09,2.21059758818195e-10,0.99999999400963,3.1302778698571e-14,2.45237264210208e-12,9.89665597471957e-28,7.40205422522537e-26,5.25139793172565e-17,8.06948023833702e-10,1.39665509035452e-10,1.55630709957294e-13,3.15929561009764e-12,7.40370320373456e-19
"Hawaii_Oahu_6363",2.84627941720529e-32,3.69319495842866e-10,6.09494557796722e-11,0.999999975872892,7.47804728137721e-11,2.19956434934683e-09,2.75597007007009e-25,2.45473180022255e-20,3.24047044158114e-11,1.10412775610169e-09,1.94270911880095e-08,9.88247782552824e-11,7.60045503491116e-10,1.01425954631316e-23
"Hawaii_Hawaii_6460",1.37430702519199e-30,4.43674554964077e-14,7.18444735874418e-13,0.999997842070099,1.24049214165377e-08,2.11001725220875e-06,2.73509549233107e-24,2.46920306218201e-20,1.02225762319713e-11,2.66631825707211e-12,3.54699303830115e-08,8.57345343301459e-13,2.32875973677013e-11,4.19320383311542e-21
"Hawaii_Hawaii_6461",4.86558667532819e-31,4.32371127948159e-08,0.000131890886072825,0.9998679855407,3.24313535616529e-12,8.33416813422337e-11,1.29617727378207e-24,3.65856855513712e-20,4.37803576171163e-13,3.21819503431858e-09,5.45211159474314e-08,1.58037593528024e-09,2.09294047483093e-08,9.07660455082621e-18
"Hawaii_Hawaii_6463",1.81015717709631e-28,2.39996798014353e-11,2.81378053225732e-11,0.999995312640812,1.32498751741012e-09,2.0658334017086e-08,7.67496368358638e-23,7.31498765136096e-18,8.75767108407488e-11,2.82036235048905e-09,4.63380224168397e-06,1.68426856651145e-08,1.17708624138559e-08,1.06161065372194e-16
"Hawaii_Maui_6549",1.15746575187474e-32,2.23639803530419e-10,3.30208430546068e-13,0.999999948499333,8.03079408268852e-13,3.64707964570729e-11,5.82845186661137e-26,1.86059863208813e-19,1.35851586434607e-11,2.8659692770849e-09,4.47576997894678e-08,7.6137845136614e-11,3.52603093897783e-09,5.68894355416959e-22
"Hawaii_Maui_6550",4.87340296130914e-35,1.53507998089029e-14,3.74049569891636e-14,0.999999999468172,9.29974709882690e-13,5.22342526252819e-10,1.24892474724017e-27,4.9620694948274e-23,3.77015510262717e-14,2.85338283614663e-13,8.16421335083443e-12,1.19401550293266e-15,1.45391946463619e-14,6.50143996688372e-27
"Hawaii_Maui_6557",6.32554281427326e-30,5.52832574431507e-06,1.28696244737122e-08,0.999985539198802,7.17794181178195e-10,2.17761593907136e-09,6.84551451574365e-24,1.28535081410964e-14,1.16950752194186e-08,6.71145386345012e-06,1.28836643057142e-06,5.3093409480148e-09,8.99885696456142e-07,1.28174550083816e-18
"Hawaii_Maui_6563",3.79876499103902e-28,5.51283893947407e-10,4.04296258436397e-10,0.999994798799327,4.25527864723299e-10,1.3194583383119e-09,6.2157173383583e-22,8.37835207594731e-18,2.1853078736657e-09,3.36565575879029e-07,4.65643660201792e-06,3.99484668071367e-08,1.63364153800377e-07,2.51126449553802e-19
"Hawaii_Kahoolawe_6568",7.34782093812471e-31,5.22040499074183e-08,7.05261314196763e-11,0.999999898941226,1.99647709560069e-11,2.88168883307276e-10,9.53054115598647e-23,1.52747948651511e-19,2.86124990448683e-11,9.37808998521581e-09,3.75193762579617e-08,2.99247546160306e-11,1.52006142021636e-09,6.50261808623094e-20
