key,Population,Lat,Lng
554,Papuan,-4.0,143.0
555,Papuan,-4.0,143.0
556,Papuan,-4.0,143.0
702,Colombian,3.0,-68.0
703,Colombian,3.0,-68.0
704,Colombian,3.0,-68.0
705,Colombian,3.0,-68.0
706,Colombian,3.0,-68.0
707,Colombian,3.0,-68.0
708,Colombian,3.0,-68.0
709,Colombian,3.0,-68.0
710,Colombian,3.0,-68.0
792,Colombian,3.0,-68.0
793,Colombian,3.0,-68.0
827,Colombian,3.0,-68.0
970,Colombian,3.0,-68.0
995,Karitiana,-10.0,-63.0
996,Karitiana,-10.0,-63.0
997,Karitiana,-10.0,-63.0
998,Karitiana,-10.0,-63.0
999,Karitiana,-10.0,-63.0
1000,Karitiana,-10.0,-63.0
1001,Karitiana,-10.0,-63.0
1003,Karitiana,-10.0,-63.0
1004,Karitiana,-10.0,-63.0
1005,Karitiana,-10.0,-63.0
1006,Karitiana,-10.0,-63.0
1007,Karitiana,-10.0,-63.0
1008,Karitiana,-10.0,-63.0
1009,Karitiana,-10.0,-63.0
1010,Karitiana,-10.0,-63.0
1011,Karitiana,-10.0,-63.0
1012,Karitiana,-10.0,-63.0
1013,Karitiana,-10.0,-63.0
1014,Karitiana,-10.0,-63.0
1015,Karitiana,-10.0,-63.0
1016,Karitiana,-10.0,-63.0
1017,Karitiana,-10.0,-63.0
1018,Karitiana,-10.0,-63.0
1019,Karitiana,-10.0,-63.0
830,Surui,-11.0,-62.0
832,Surui,-11.0,-62.0
833,Surui,-11.0,-62.0
834,Surui,-11.0,-62.0
835,Surui,-11.0,-62.0
837,Surui,-11.0,-62.0
838,Surui,-11.0,-62.0
839,Surui,-11.0,-62.0
840,Surui,-11.0,-62.0
841,Surui,-11.0,-62.0
842,Surui,-11.0,-62.0
843,Surui,-11.0,-62.0
844,Surui,-11.0,-62.0
845,Surui,-11.0,-62.0
846,Surui,-11.0,-62.0
847,Surui,-11.0,-62.0
848,Surui,-11.0,-62.0
849,Surui,-11.0,-62.0
850,Surui,-11.0,-62.0
851,Surui,-11.0,-62.0
852,Surui,-11.0,-62.0
854,Maya,19.0,-91.0
855,Maya,19.0,-91.0
856,Maya,19.0,-91.0
857,Maya,19.0,-91.0
858,Maya,19.0,-91.0
859,Maya,19.0,-91.0
860,Maya,19.0,-91.0
861,Maya,19.0,-91.0
862,Maya,19.0,-91.0
863,Maya,19.0,-91.0
864,Maya,19.0,-91.0
865,Maya,19.0,-91.0
866,Maya,19.0,-91.0
867,Maya,19.0,-91.0
868,Maya,19.0,-91.0
869,Maya,19.0,-91.0
870,Maya,19.0,-91.0
871,Maya,19.0,-91.0
872,Maya,19.0,-91.0
873,Maya,19.0,-91.0
874,Maya,19.0,-91.0
875,Maya,19.0,-91.0
876,Maya,19.0,-91.0
877,Maya,19.0,-91.0
878,Maya,19.0,-91.0
1037,Pima,29.0,-108.0
1038,Pima,29.0,-108.0
1039,Pima,29.0,-108.0
1040,Pima,29.0,-108.0
1041,Pima,29.0,-108.0
1042,Pima,29.0,-108.0
1043,Pima,29.0,-108.0
1044,Pima,29.0,-108.0
1045,Pima,29.0,-108.0
1046,Pima,29.0,-108.0
1047,Pima,29.0,-108.0
1048,Pima,29.0,-108.0
1049,Pima,29.0,-108.0
1050,Pima,29.0,-108.0
1051,Pima,29.0,-108.0
1052,Pima,29.0,-108.0
1053,Pima,29.0,-108.0
1054,Pima,29.0,-108.0
1055,Pima,29.0,-108.0
1056,Pima,29.0,-108.0
1057,Pima,29.0,-108.0
1058,Pima,29.0,-108.0
1059,Pima,29.0,-108.0
1060,Pima,29.0,-108.0
1061,Pima,29.0,-108.0
993,BantuSouthAfrica,-25.56926433,24.25
994,BantuSouthAfrica,-25.56926433,24.25
1028,BantuSouthAfrica,-25.56926433,24.25
1030,BantuSouthAfrica,-25.56926433,24.25
1031,BantuSouthAfrica,-25.56926433,24.25
1033,BantuSouthAfrica,-25.56926433,24.25
1034,BantuSouthAfrica,-25.56926433,24.25
1035,BantuSouthAfrica,-25.56926433,24.25
1405,BantuKenya,-3.0,37.0
1406,BantuKenya,-3.0,37.0
1408,BantuKenya,-3.0,37.0
1411,BantuKenya,-3.0,37.0
1412,BantuKenya,-3.0,37.0
1413,BantuKenya,-3.0,37.0
1414,BantuKenya,-3.0,37.0
1415,BantuKenya,-3.0,37.0
1416,BantuKenya,-3.0,37.0
1417,BantuKenya,-3.0,37.0
1418,BantuKenya,-3.0,37.0
1419,BantuKenya,-3.0,37.0
904,Mandenka,12.0,-12.0
905,Mandenka,12.0,-12.0
906,Mandenka,12.0,-12.0
907,Mandenka,12.0,-12.0
908,Mandenka,12.0,-12.0
909,Mandenka,12.0,-12.0
910,Mandenka,12.0,-12.0
911,Mandenka,12.0,-12.0
912,Mandenka,12.0,-12.0
913,Mandenka,12.0,-12.0
914,Mandenka,12.0,-12.0
915,Mandenka,12.0,-12.0
916,Mandenka,12.0,-12.0
917,Mandenka,12.0,-12.0
918,Mandenka,12.0,-12.0
919,Mandenka,12.0,-12.0
1199,Mandenka,12.0,-12.0
1200,Mandenka,12.0,-12.0
1201,Mandenka,12.0,-12.0
1202,Mandenka,12.0,-12.0
1283,Mandenka,12.0,-12.0
1284,Mandenka,12.0,-12.0
1285,Mandenka,12.0,-12.0
1286,Mandenka,12.0,-12.0
920,Yoruba,7.995094727000001,5.0
921,Yoruba,7.995094727000001,5.0
922,Yoruba,7.995094727000001,5.0
923,Yoruba,7.995094727000001,5.0
924,Yoruba,7.995094727000001,5.0
925,Yoruba,7.995094727000001,5.0
926,Yoruba,7.995094727000001,5.0
927,Yoruba,7.995094727000001,5.0
928,Yoruba,7.995094727000001,5.0
929,Yoruba,7.995094727000001,5.0
930,Yoruba,7.995094727000001,5.0
931,Yoruba,7.995094727000001,5.0
932,Yoruba,7.995094727000001,5.0
933,Yoruba,7.995094727000001,5.0
934,Yoruba,7.995094727000001,5.0
935,Yoruba,7.995094727000001,5.0
936,Yoruba,7.995094727000001,5.0
937,Yoruba,7.995094727000001,5.0
938,Yoruba,7.995094727000001,5.0
939,Yoruba,7.995094727000001,5.0
940,Yoruba,7.995094727000001,5.0
941,Yoruba,7.995094727000001,5.0
942,Yoruba,7.995094727000001,5.0
943,Yoruba,7.995094727000001,5.0
944,Yoruba,7.995094727000001,5.0
448,BiakaPygmy,4.0,17.0
451,BiakaPygmy,4.0,17.0
452,BiakaPygmy,4.0,17.0
453,BiakaPygmy,4.0,17.0
454,BiakaPygmy,4.0,17.0
455,BiakaPygmy,4.0,17.0
457,BiakaPygmy,4.0,17.0
458,BiakaPygmy,4.0,17.0
459,BiakaPygmy,4.0,17.0
460,BiakaPygmy,4.0,17.0
461,BiakaPygmy,4.0,17.0
464,BiakaPygmy,4.0,17.0
465,BiakaPygmy,4.0,17.0
466,BiakaPygmy,4.0,17.0
469,BiakaPygmy,4.0,17.0
470,BiakaPygmy,4.0,17.0
472,BiakaPygmy,4.0,17.0
473,BiakaPygmy,4.0,17.0
475,BiakaPygmy,4.0,17.0
477,BiakaPygmy,4.0,17.0
479,BiakaPygmy,4.0,17.0
985,BiakaPygmy,4.0,17.0
986,BiakaPygmy,4.0,17.0
1084,BiakaPygmy,4.0,17.0
1085,BiakaPygmy,4.0,17.0
1086,BiakaPygmy,4.0,17.0
1088,BiakaPygmy,4.0,17.0
1089,BiakaPygmy,4.0,17.0
1090,BiakaPygmy,4.0,17.0
1091,BiakaPygmy,4.0,17.0
1093,BiakaPygmy,4.0,17.0
1094,BiakaPygmy,4.0,17.0
449,MbutiPygmy,1.0,29.0
450,MbutiPygmy,1.0,29.0
456,MbutiPygmy,1.0,29.0
462,MbutiPygmy,1.0,29.0
463,MbutiPygmy,1.0,29.0
467,MbutiPygmy,1.0,29.0
468,MbutiPygmy,1.0,29.0
471,MbutiPygmy,1.0,29.0
474,MbutiPygmy,1.0,29.0
476,MbutiPygmy,1.0,29.0
478,MbutiPygmy,1.0,29.0
982,MbutiPygmy,1.0,29.0
983,MbutiPygmy,1.0,29.0
984,MbutiPygmy,1.0,29.0
1081,MbutiPygmy,1.0,29.0
987,San,-21.0,20.0
988,San,-21.0,20.0
991,San,-21.0,20.0
992,San,-21.0,20.0
1029,San,-21.0,20.0
1032,San,-21.0,20.0
1036,San,-21.0,20.0
774,Han,32.26566812,114.0
775,Han,32.26566812,114.0
776,Han,32.26566812,114.0
777,Han,32.26566812,114.0
778,Han,32.26566812,114.0
779,Han,32.26566812,114.0
780,Han,32.26566812,114.0
781,Han,32.26566812,114.0
782,Han,32.26566812,114.0
783,Han,32.26566812,114.0
784,Han,32.26566812,114.0
785,Han,32.26566812,114.0
786,Han,32.26566812,114.0
811,Han,32.26566812,114.0
812,Han,32.26566812,114.0
813,Han,32.26566812,114.0
814,Han,32.26566812,114.0
815,Han,32.26566812,114.0
817,Han,32.26566812,114.0
818,Han,32.26566812,114.0
819,Han,32.26566812,114.0
820,Han,32.26566812,114.0
821,Han,32.26566812,114.0
822,Han,32.26566812,114.0
971,Han,32.26566812,114.0
972,Han,32.26566812,114.0
973,Han,32.26566812,114.0
974,Han,32.26566812,114.0
975,Han,32.26566812,114.0
976,Han,32.26566812,114.0
977,Han,32.26566812,114.0
1021,Han,32.26566812,114.0
1023,Han,32.26566812,114.0
1024,Han,32.26566812,114.0
1287,Han-NChina,32.26566812,114.0
1288,Han-NChina,32.26566812,114.0
1289,Han-NChina,32.26566812,114.0
1290,Han-NChina,32.26566812,114.0
1291,Han-NChina,32.26566812,114.0
1292,Han-NChina,32.26566812,114.0
1293,Han-NChina,32.26566812,114.0
1294,Han-NChina,32.26566812,114.0
1295,Han-NChina,32.26566812,114.0
1296,Han-NChina,32.26566812,114.0
1307,Dai,21.0,100.0
1308,Dai,21.0,100.0
